lemma,doc_freq,multiplier
economy,1.0,0.0
economic,1.0,0.0
market,1.0,0.0
condition,0.9859154929577465,0.0
time,0.9859154929577465,0.0
year,0.9859154929577465,0.0
large,0.9859154929577465,0.0
provide,0.9859154929577465,0.0
help,0.9859154929577465,0.0
system,0.9859154929577465,0.0
federal,0.9859154929577465,0.0
financial,0.9859154929577465,0.0
lead,0.971830985915493,0.0
term,0.971830985915493,0.0
new,0.971830985915493,0.0
need,0.971830985915493,0.0
policy,0.971830985915493,0.0
recent,0.971830985915493,0.0
example,0.971830985915493,0.0
include,0.971830985915493,0.0
long,0.9577464788732394,0.0
important,0.9577464788732394,0.0
work,0.9577464788732394,0.0
continue,0.9577464788732394,0.0
take,0.9436619718309859,0.0
reserve,0.9436619718309859,0.0
support,0.9436619718309859,0.0
rate,0.9436619718309859,0.0
high,0.9295774647887324,0.0
way,0.9295774647887324,0.0
bank,0.9295774647887324,0.0
crisis,0.9295774647887324,0.0
reduce,0.9154929577464789,0.0
credit,0.9154929577464789,0.0
increase,0.9154929577464789,0.0
stability,0.9154929577464789,0.0
great,0.9154929577464789,0.0
remain,0.9154929577464789,0.0
current,0.9014084507042254,0.0
effect,0.9014084507042254,0.0
past,0.9014084507042254,0.0
action,0.9014084507042254,0.0
result,0.9014084507042254,0.0
low,0.9014084507042254,0.0
risk,0.9014084507042254,0.0
capital,0.9014084507042254,0.0
problem,0.8873239436619719,0.3
significant,0.8873239436619719,0.3
strong,0.8873239436619719,0.3
address,0.8873239436619719,0.3
u.s.,0.8873239436619719,0.3
government,0.8873239436619719,0.3
today,0.8873239436619719,0.3
number,0.8732394366197183,0.3
security,0.8732394366197183,0.3
development,0.8732394366197183,0.3
particular,0.8732394366197183,0.3
short,0.8732394366197183,0.3
interest,0.8732394366197183,0.3
fund,0.8732394366197183,0.3
give,0.8591549295774648,0.3
level,0.8591549295774648,0.3
range,0.8591549295774648,0.3
growth,0.8591549295774648,0.3
role,0.8591549295774648,0.3
price,0.8450704225352113,0.3
hold,0.8450704225352113,0.3
monetary,0.8450704225352113,0.3
central,0.8450704225352113,0.3
challenge,0.8450704225352113,0.3
standard,0.8450704225352113,0.3
early,0.8450704225352113,0.3
cost,0.8450704225352113,0.3
key,0.8450704225352113,0.3
investor,0.8450704225352113,0.3
activity,0.8450704225352113,0.3
response,0.8450704225352113,0.3
good,0.8450704225352113,0.3
country,0.8450704225352113,0.3
issue,0.8450704225352113,0.3
pressure,0.8450704225352113,0.3
public,0.8450704225352113,0.3
require,0.8450704225352113,0.3
turn,0.8450704225352113,0.3
